TimeSeconds,X,Y,Speed,Distance,Throttle,Brake,LapNumber
39.333,-891.0424509189891,11772.732416732364,232.0,2144.5183333333334,100.0,False,1
39.489,-866.0,11875.0,235.9,2154.7807069337146,100.0,False,1
39.573,-852.854356599763,11929.46637216111,238.0,2160.385,100.0,False,1
39.689,-835.0,12005.0,242.06,2168.2263008032955,100.0,False,1
39.773,-821.9889978137277,12061.639939500219,245.0,2173.9961111111115,100.0,False,1
39.949,-796.0,12180.0,251.6,2186.363562521236,100.0,False,1
40.013,-787.774088953833,12219.927217569715,254.0,2190.9294444444445,100.0,False,1
40.189,-767.0,12328.0,257.3,2203.634979038809,100.0,False,1
40.409,-739.0,12484.0,261.425,2219.782379822106,100.0,False,1
40.493,-728.3095244078507,12545.173972783361,263.0,2225.9961111111115,100.0,False,1
40.653,-708.3640421127886,12662.380684147025,268.0,2237.9072222222226,100.0,False,1
40.689,-704.0,12689.0,268.5,2240.6048140411403,100.0,False,1
40.87,-683.0,12822.0,271.013888,2254.273254219381,100.0,False,1
41.013,-667.7501868034547,12921.252568916814,273.0,2265.2072222222223,100.0,False,1
41.07,-660.0,12973.0,274.2507820437302,2269.600272012006,100.0,False,1
41.29,-622.0,13233.0,279.07836728208304,2286.725768540808,100.0,False,1
41.332,-617.1058524005423,13267.726906787626,280.0,2290.0183333333334,100.0,False,1
41.572,-605.1619630309823,13367.555538447301,284.0,2308.951666666667,100.0,False,1
41.61,-603.0,13388.0,284.27046178401974,2311.964058960955,100.0,False,1
41.85,-584.0,13576.0,285.97864722645346,2331.037347790293,100.0,False,1
41.853,-583.7791317305202,13578.541236984587,286.0,2331.2755555555555,100.0,False,1
42.013,-573.7936293052629,13713.237713733613,286.0,2343.986666666666,100.0,False,1
42.11,-569.0,13791.0,287.07777706666667,2351.7540582090082,100.0,False,1
42.29,-562.0,13927.0,289.07777706666667,2366.2856085269214,100.0,False,1
42.373,-559.6115596273988,13992.887214824124,290.0,2372.986666666666,100.0,False,1
42.49,-557.0,14089.0,290.0,2382.42115176738,100.0,False,1
42.77,-553.0,14322.0,290.0,2404.967281780186,100.0,False,1
